规则类型,词条内容,分类,权重分
RISK_WORD,铊中毒,VIOLENCE,75
RISK_WORD,炭疽杆菌,VIOLENCE,75
RISK_WORD,沙林毒气,VIOLENCE,75
RISK_WORD,VX毒剂,VIOLENCE,75
RISK_WORD,人肉炸弹,VIOLENCE,75
RISK_WORD,自残教程,VIOLENCE,75
RISK_WORD,自杀群,VIOLENCE,75
RISK_WORD,相约自杀,VIOLENCE,75
RISK_WORD,割腕方法,VIOLENCE,75
RISK_WORD,跳楼教程,VIOLENCE,75
RISK_WORD,杀人方法,VIOLENCE,75
RISK_WORD,毁尸灭迹,VIOLENCE,75
RISK_WORD,海洛因,DRUGS,75
RISK_WORD,白粉买卖,DRUGS,75
RISK_WORD,冰毒,DRUGS,75
RISK_WORD,甲基苯丙胺,DRUGS,75
RISK_WORD,麻古,DRUGS,75
RISK_WORD,摇头丸,DRUGS,75
RISK_WORD,K粉,DRUGS,75
RISK_WORD,氯胺酮,DRUGS,75
RISK_WORD,可卡因,DRUGS,75
RISK_WORD,大麻叶,DRUGS,75
RISK_WORD,大麻烟,DRUGS,75
RISK_WORD,神仙水,DRUGS,75
RISK_WORD,红冰,DRUGS,75
RISK_WORD,咔哇潮饮,DRUGS,75
RISK_WORD,笑气吸食,DRUGS,75
RISK_WORD,芬太尼透皮贴,DRUGS,75
RISK_WORD,杜冷丁注射液,DRUGS,75
RISK_WORD,美沙酮口服液,DRUGS,75
RISK_WORD,三唑仑,DRUGS,75
RISK_WORD,迷魂药,DRUGS,75
RISK_WORD,听话水,DRUGS,75
RISK_WORD,乖乖水,DRUGS,75
RISK_WORD,失忆水,DRUGS,75
RISK_WORD,GHB迷药,DRUGS,75
RISK_WORD,迷奸药,DRUGS,75
RISK_WORD,催情粉,DRUGS,75
RISK_WORD,制毒教程,DRUGS,75
RISK_WORD,麻黄碱提炼,DRUGS,75
RISK_WORD,毒品原植物,DRUGS,75
RISK_WORD,罂粟种子,DRUGS,75
RISK_WORD,古柯叶,DRUGS,75
RISK_WORD,毒品交易,DRUGS,75
RISK_WORD,地下赌场,GAMBLING,40
RISK_WORD,境外赌场,GAMBLING,40
RISK_WORD,网络赌球,GAMBLING,40
RISK_WORD,皇冠开户,GAMBLING,40
RISK_WORD,太阳城开户,GAMBLING,40
RISK_WORD,百家乐作弊,GAMBLING,40
RISK_WORD,百家乐透视,GAMBLING,40
RISK_WORD,六合彩特码,GAMBLING,40
RISK_WORD,时时彩计划,GAMBLING,40
RISK_WORD,时时彩稳赚,GAMBLING,40
RISK_WORD,时时彩漏洞,GAMBLING,40
RISK_WORD,北京赛车pk10,GAMBLING,40
RISK_WORD,幸运飞艇群,GAMBLING,40
RISK_WORD,快三计划,GAMBLING,40
RISK_WORD,真人视讯赌博,GAMBLING,40
RISK_WORD,线上娱乐城,GAMBLING,40
RISK_WORD,澳门威尼斯人线上,GAMBLING,40
RISK_WORD,金沙娱乐城,GAMBLING,40
RISK_WORD,万博体育,GAMBLING,40
RISK_WORD,开云体育,GAMBLING,40
RISK_WORD,外围下注,GAMBLING,40
RISK_WORD,赌博赔率,GAMBLING,40
RISK_WORD,百家乐刷水,GAMBLING,40
RISK_WORD,对冲套利,GAMBLING,40
RISK_WORD,扎金花作弊器,GAMBLING,40
RISK_WORD,斗牛作弊透视,GAMBLING,40
RISK_WORD,麻将透视挂,GAMBLING,40
RISK_WORD,德州扑克外挂,GAMBLING,40
RISK_WORD,炸金花透视,GAMBLING,40
RISK_WORD,赌资结算,GAMBLING,40
RISK_WORD,赌博返点,GAMBLING,40
RISK_WORD,菠菜代理,GAMBLING,40
RISK_WORD,博彩平台源码,GAMBLING,40
RISK_WORD,黄色网站,PORNOGRAPHY,40
RISK_WORD,成人论坛,PORNOGRAPHY,40
RISK_WORD,成人电影,PORNOGRAPHY,40
RISK_WORD,色情直播,PORNOGRAPHY,40
RISK_WORD,黄播平台,PORNOGRAPHY,40
RISK_WORD,裸聊敲诈,PORNOGRAPHY,40
RISK_WORD,招嫖信息,PORNOGRAPHY,40
RISK_WORD,上门服务全套,PORNOGRAPHY,40
RISK_WORD,同城约炮,PORNOGRAPHY,40
RISK_WORD,包养女大学生,PORNOGRAPHY,40
RISK_WORD,外围女预约,PORNOGRAPHY,40
RISK_WORD,援交妹,PORNOGRAPHY,40
RISK_WORD,高端外围,PORNOGRAPHY,40
RISK_WORD,兼职约啪,PORNOGRAPHY,40
RISK_WORD,酒店招嫖,PORNOGRAPHY,40
RISK_WORD,偷拍视频,PORNOGRAPHY,40
RISK_WORD,厕所偷拍,PORNOGRAPHY,40
RISK_WORD,更衣室偷拍,PORNOGRAPHY,40
RISK_WORD,针孔摄像偷窥,PORNOGRAPHY,40
RISK_WORD,原味内裤出售,PORNOGRAPHY,40
RISK_WORD,原味丝袜,PORNOGRAPHY,40
RISK_WORD,无码破解,PORNOGRAPHY,40
RISK_WORD,幼女视频,PORNOGRAPHY,80
RISK_WORD,儿童色情,PORNOGRAPHY,80
RISK_WORD,乱伦小说,PORNOGRAPHY,40
RISK_WORD,迷奸视频,PORNOGRAPHY,80
RISK_WORD,群交派对,PORNOGRAPHY,40
RISK_WORD,性奴调教,PORNOGRAPHY,40
RISK_WORD,SM重口,PORNOGRAPHY,40
RISK_WORD,换妻俱乐部,PORNOGRAPHY,40
RISK_WORD,刷单兼职,FRAUD,40
RISK_WORD,刷单返利,FRAUD,40
RISK_WORD,手工活兼职骗局,FRAUD,40
RISK_WORD,兼职点赞赚钱,FRAUD,40
RISK_WORD,杀猪盘诈骗,FRAUD,40
RISK_WORD,冒充公检法诈骗,FRAUD,40
RISK_WORD,注销校园贷,FRAUD,40
RISK_WORD,理财退费骗局,FRAUD,40
RISK_WORD,虚假中奖,FRAUD,40
RISK_WORD,代办高额信用卡,FRAUD,40
RISK_WORD,白户包过信用卡,FRAUD,40
RISK_WORD,代开增值税发票,FRAUD,40
RISK_WORD,代开普通发票,FRAUD,40
RISK_WORD,办假证,FRAUD,40
RISK_WORD,办假毕业证,FRAUD,40
RISK_WORD,办假身份证,FRAUD,40
RISK_WORD,刻假公章,FRAUD,40
RISK_WORD,伪造公文,FRAUD,40
RISK_WORD,克隆银行卡,FRAUD,40
RISK_WORD,银行卡洗钱,FRAUD,40
RISK_WORD,跑分兼职,FRAUD,40
RISK_WORD,跑分洗钱平台,FRAUD,40
RISK_WORD,买卖银行卡,FRAUD,40
RISK_WORD,四件套买卖,FRAUD,40
RISK_WORD,对公账户出售,FRAUD,40
RISK_WORD,免实名手机卡,FRAUD,40
RISK_WORD,接码平台,FRAUD,40
RISK_WORD,短信轰炸机,FRAUD,40
RISK_WORD,电话轰炸软件,FRAUD,40
RISK_WORD,呼死你软件,FRAUD,40
RISK_WORD,DDoS攻击接单,FRAUD,40
RISK_WORD,流量攻击平台,FRAUD,40
RISK_WORD,木马免杀制作,FRAUD,40
RISK_WORD,盗号木马,FRAUD,40
RISK_WORD,钓鱼网站源码,FRAUD,40
RISK_WORD,暗网数据售卖,FRAUD,40
RISK_WORD,公民个人信息买卖,FRAUD,40
RISK_WORD,开房记录查询,FRAUD,40
RISK_WORD,手机定位找人,FRAUD,40
RISK_WORD,黑客破解密码,FRAUD,40
RISK_WORD,修改征信记录,FRAUD,40
RISK_WORD,花呗套现,FRAUD,40
RISK_WORD,信用卡套现,FRAUD,40
RISK_WORD,操你妈,ABUSE,35
RISK_WORD,草泥马,ABUSE,35
RISK_WORD,傻逼,ABUSE,35
RISK_WORD,弱智脑残,ABUSE,35
RISK_WORD,全家死光,ABUSE,35
RISK_WORD,去死吧你,ABUSE,35
RISK_WORD,杂种生养的,ABUSE,35
RISK_WORD,狗娘养的,ABUSE,35
RISK_WORD,死全家,ABUSE,35
RISK_WORD,婊子养的,ABUSE,35
RISK_WORD,贱人贱货,ABUSE,35
RISK_WORD,nmsl,ABUSE,35
RISK_WORD,cnm,ABUSE,35
RISK_WORD,日你大爷,ABUSE,35
RISK_WORD,生儿子没屁眼,ABUSE,35
RISK_WORD,孤儿一个,ABUSE,35
RISK_WORD,废物点心,ABUSE,35
RISK_WORD,下地狱去,ABUSE,35
RISK_WORD,出门被车撞死,ABUSE,35
RISK_CONTEXT,联系我,GENERAL,20
RISK_CONTEXT,私信我,GENERAL,20
RISK_CONTEXT,加我微信,GENERAL,20
RISK_CONTEXT,加我QQ,GENERAL,20
RISK_CONTEXT,加好友聊,GENERAL,20
RISK_CONTEXT,扫码进群,GENERAL,20
RISK_CONTEXT,扫码下载,GENERAL,20
RISK_CONTEXT,看个人主页,GENERAL,20
RISK_CONTEXT,点击下方链接,GENERAL,20
RISK_CONTEXT,复制链接到浏览器,GENERAL,20
RISK_CONTEXT,一手货源,GENERAL,20
RISK_CONTEXT,货到付款,GENERAL,20
RISK_CONTEXT,包邮发货,GENERAL,20
RISK_CONTEXT,货真价实,GENERAL,20
RISK_CONTEXT,诚信卖家,GENERAL,20
RISK_CONTEXT,有需要联系,GENERAL,20
RISK_CONTEXT,低价出,GENERAL,20
RISK_CONTEXT,包教包会,GENERAL,20
RISK_CONTEXT,提供渠道,GENERAL,20
RISK_CONTEXT,内幕消息,GENERAL,20
RISK_CONTEXT,稳赚不赔,GENERAL,20
RISK_CONTEXT,带你上车,GENERAL,20
RISK_CONTEXT,日赚几百,GENERAL,20
RISK_CONTEXT,无需押金,GENERAL,20
RISK_CONTEXT,Telegram,GENERAL,20
RISK_CONTEXT,电报群,GENERAL,20
RISK_CONTEXT,飞机号,GENERAL,20
RISK_CONTEXT,Potato群,GENERAL,20
RISK_CONTEXT,暗网地址,GENERAL,20
SAFE_CONTEXT,坚决抵制,GENERAL,-35
SAFE_CONTEXT,依法打击,GENERAL,-35
SAFE_CONTEXT,严厉惩处,GENERAL,-35
SAFE_CONTEXT,严厉打击,GENERAL,-35
SAFE_CONTEXT,依法查处,GENERAL,-35
SAFE_CONTEXT,专项治理,GENERAL,-35
SAFE_CONTEXT,防范警示,GENERAL,-35
SAFE_CONTEXT,反诈宣传,GENERAL,-35
SAFE_CONTEXT,防范诈骗,GENERAL,-35
SAFE_CONTEXT,普法教育,GENERAL,-35
SAFE_CONTEXT,普法宣传,GENERAL,-35
SAFE_CONTEXT,法律科普,GENERAL,-35
SAFE_CONTEXT,案例分析,GENERAL,-35
SAFE_CONTEXT,警示案例,GENERAL,-35
SAFE_CONTEXT,公安通报,GENERAL,-35
SAFE_CONTEXT,警方提示,GENERAL,-35
SAFE_CONTEXT,网警提醒,GENERAL,-35
SAFE_CONTEXT,最高人民法院,GENERAL,-35
SAFE_CONTEXT,最高人民检察院,GENERAL,-35
SAFE_CONTEXT,公安部通报,GENERAL,-35
SAFE_CONTEXT,禁毒大队,GENERAL,-35
SAFE_CONTEXT,禁毒教育基地,GENERAL,-35
SAFE_CONTEXT,反邪教协会,GENERAL,-35
SAFE_CONTEXT,拒绝毒品,GENERAL,-35
SAFE_CONTEXT,远离赌博,GENERAL,-35
SAFE_CONTEXT,拒绝黄赌毒,GENERAL,-35
SAFE_CONTEXT,扫黄打非,GENERAL,-35
SAFE_CONTEXT,清朗行动,GENERAL,-35
SAFE_CONTEXT,网络安全宣传周,GENERAL,-35
SAFE_CONTEXT,防范网络诈骗指南,GENERAL,-35
SAFE_CONTEXT,防范电信诈骗,GENERAL,-35
SAFE_CONTEXT,学术探讨,GENERAL,-35
SAFE_CONTEXT,科研分析,GENERAL,-35
SAFE_CONTEXT,论文综述,GENERAL,-35
SAFE_CONTEXT,合规审计,GENERAL,-35
SAFE_CONTEXT,安全巡检,GENERAL,-35
SAFE_CONTEXT,漏洞修复,GENERAL,-35
SAFE_CONTEXT,安全防护,GENERAL,-35
ALLOW_TERM,中华人民共和国宪法,GENERAL,0
ALLOW_TERM,中华人民共和国民法典,GENERAL,0
ALLOW_TERM,中华人民共和国网络安全法,GENERAL,0
ALLOW_TERM,中华人民共和国数据安全法,GENERAL,0
ALLOW_TERM,中华人民共和国个人信息保护法,GENERAL,0
ALLOW_TERM,中华人民共和国反电信网络诈骗法,GENERAL,0
ALLOW_TERM,中华人民共和国治安管理处罚法,GENERAL,0
ALLOW_TERM,中华人民共和国禁毒法,GENERAL,0
ALLOW_TERM,国家安全法,GENERAL,0
ALLOW_TERM,反恐怖主义法,GENERAL,0
ALLOW_TERM,网络信息内容生态治理规定,GENERAL,0
ALLOW_TERM,生成式人工智能服务管理暂行办法,GENERAL,0
ALLOW_TERM,最高人民法院关于审理走私毒品案件定罪量刑标准等问题的解释,GENERAL,0
ALLOW_TERM,杀毒软件防护机制,GENERAL,0
ALLOW_TERM,安全防御系统,GENERAL,0
ALLOW_TERM,网络流量清洗,GENERAL,0
ALLOW_TERM,防火墙安全策略,GENERAL,0
